English,Turkish
fact,hakikat
factor,faktör
fail,hata
fall,düşmek
family,aile
far,uzak
fast,hızlı
father,baba
fear,korku
federal,federal
feel,hissetmek
feeling,his
few,bir kaç
field,alan
fight,kavga
figure,figür
fill,doldurmak
film,film
final,son
finally,Sonunda
financial,parasal
find,bulmak
fine,iyi
finger,parmak
finish,sona ermek
fire,ateş
firm,firma
first,Birinci
fish,balık
five,beş
floor,zemin
fly,uçmak
focus,odak
follow,takip etmek
food,yiyecek
foot,ayak
for,için
force,güç
foreign,yabancı
forget,unutmak
form,biçim
former,önceki
forward,ileri
four,dört
free,özgür
friend,arkadaş
from,itibaren
front,ön
full,tam dolu
fund,"fon, sermaye"
future,gelecek
game,oyun
garden,bahçe
gas,gaz
general,genel
generation,nesil
get,elde etmek
girl,kız
give,vermek
glass,bardak
go,Gitmek
goal,amaç
good,iyi
government,devlet
great,Harika
green,yeşil
ground,zemin
group,grup
grow,büyümek
growth,büyüme
guess,tahmin etmek
gun,silah
guy,adam
hair,saç
half,yarım
hand,el
hang,asmak
happen,olmak
happy,mutlu
hard,zor
have,sahip olmak
he,O
head,KAFA
health,sağlık
hear,duymak
heart,kalp
heat,sıcaklık
heavy,ağır
help,yardım
her,o
here,Burada
herself,kendini
high,yüksek
him,o
himself,kendisi
his,onun
history,tarih
hit,vurmak
hold,tutmak
home,Ev
hope,umut
hospital,hastane
hot,sıcak
hotel,otel
hour,saat
house,ev
how,Nasıl
however,Yine de
huge,büyük
human,insan
hundred,yüz
husband,koca
I,BEN
idea,fikir
identify,tanımlamak
if,eğer
image,resim
imagine,hayal etmek
impact,darbe
important,önemli
improve,geliştirmek
in,içinde
include,katmak
including,içermek
increase,arttırmak
indeed,Aslında
indicate,belirtmek
individual,bireysel
industry,endüstri
information,bilgi
inside,içeri
instead,yerine
institution,kurum
interest,faiz
interesting,ilginç
international,uluslararası
interview,röportaj
into,içine
investment,yatırım
involve,içermek
issue,sorun
it,BT
item,öğe
its,onun
itself,kendisi
job,iş
join,katılmak
just,Sadece
keep,kale
key,anahtar
kid,çocuk
kill,öldürmek
kind,tür
kitchen,mutfak
know,Bilmek
knowledge,bilgi
land,kara
language,dil
large,büyük
last,son
late,geç
later,Daha sonra
laugh,gülmek
law,kanun
lawyer,avukat
lay,sermek
lead,yol göstermek
leader,Önder
learn,öğrenmek
least,en az
leave,ayrılmak
left,sol
leg,bacak
legal,yasal
less,az
let,izin vermek
letter,mektup
level,seviye
lie,yalan
life,hayat
light,ışık
like,beğenmek
likely,büyük ihtimalle
line,astar
list,liste
listen,Dinlemek
little,biraz
live,canlı
local,yerel
long,uzun
look,Bakmak
lose,kaybetmek
loss,kayıp
lot,pay
love,Aşk
low,Düşük
machine,makine
magazine,dergi
main,ana
maintain,sürdürmek
major,ana
majority,çoğunluk
make,yapmak
man,Adam
manage,üstesinden gelmek
management,yönetmek
manager,müdür
many,birçok
market,pazar
marriage,evlilik
material,malzeme
matter,konu
may,mayıs
maybe,Belki
me,Ben
mean,Anlam
measure,ölçüm
media,medya
medical,tıbbi
meet,tanışmak
meeting,toplantı
member,üye
memory,hafıza
mention,değinmek
message,İleti
method,yöntem
middle,orta
might,belki
military,askeri
million,milyon
mind,akıl
minute,dakika
miss,kayıp
mission,misyon
model,modeli
modern,modern
moment,an
money,para
month,ay
more,Daha
morning,Sabah
most,en
mother,anne
mouth,ağız
move,taşınmak
movement,hareket
movie,film
Mr,Bay
Mrs,Bayan
much,fazla
music,müzik
must,mutlak
my,Benim
myself,kendim
name,isim
nation,ulus
national,ulusal
natural,doğal
nature,doğa
near,yakın
nearly,neredeyse
necessary,gerekli
need,ihtiyaç
network,ağ
never,Asla
new,yeni
news,haberler
newspaper,gazete
next,Sonraki
nice,Güzel
night,gece
no,HAYIR
none,hiçbiri
nor,ne de
north,kuzey
not,Olumsuz
note,Not
nothing,Hiçbir şey
notice,fark etme
now,Şimdi
n't,değil
number,sayı
occur,meydana gelmek
of,ile ilgili
off,kapalı
offer,teklif
office,ofis
officer,subay
official,resmi
often,sıklıkla
oh,ah
oil,yağ
ok,Tamam
old,eskimiş
on,Açık
once,bir kere
one,bir
only,sadece
onto,üzerine
open,açık
operation,operasyon
opportunity,fırsat
option,seçenek
or,veya
order,emir
organization,organizasyon
other,diğer
others,diğerleri
our,bizim
out,dışarı
outside,dıştan
over,üzerinde
own,sahip olmak
owner,mal sahibi
page,sayfa
pain,ağrı
painting,tablo
paper,kağıt
parent,ebeveyn
part,parça
participant,katılımcı
particular,özel
particularly,özellikle
partner,ortak
party,Parti
pass,geçmek
past,geçmiş
patient,hasta
pattern,model
pay,ödemek
peace,barış
people,insanlar
per,başına
perform,rol yapmak
performance,verim
perhaps,belki
period,dönem
person,kişi
personal,kişisel
phone,telefon
physical,fiziksel
pick,seçmek
picture,resim
piece,parça
place,yer
plan,plan
plant,bitki
play,oynamak
player,oyuncu
PM,ÖĞLEDEN SONRA
point,nokta
police,polis
policy,politika
political,siyasi
politics,siyaset
poor,fakir
popular,popüler
population,nüfus
position,konum
positive,pozitif
possible,olası
power,güç
practice,pratik
prepare,hazırlanmak
present,Sunmak
president,başkan
pressure,basınç
pretty,tatlı
prevent,önlemek
price,fiyat
private,özel
probably,muhtemelen
problem,sorun
process,işlem
produce,üretmek
product,ürün
production,üretme
professional,profesyonel
professor,profesör
program,programı
project,proje
property,mülk
protect,korumak
prove,kanıtlamak
provide,sağlamak
public,halk
pull,çekmek
purpose,amaç
push,itmek
put,koymak
quality,kalite
question,soru
quickly,hızlıca
quite,epeyce
race,ırk
radio,radyo
raise,artırmak
range,menzil
rate,oran
rather,yerine
reach,ulaşmak
read,Okumak
ready,hazır
real,gerçek
reality,gerçeklik
realize,fark etmek
really,Gerçekten
reason,sebep
receive,almak
recent,son
recently,son zamanlarda
recognize,tanımak
record,kayıt
red,kırmızı
reduce,azaltmak
reflect,yansıtmak
region,bölge
relate,ilgili olmak
relationship,ilişki
religious,din
remain,geriye kalmak
remember,Unutma
remove,kaldırmak
report,rapor
represent,temsil etmek
Republican,Cumhuriyetçi
require,gerekmek
research,araştırma
resource,kaynak
respond,yanıtlamak
response,cevap
responsibility,sorumluluk
rest,dinlenmek
result,sonuç
return,geri dönmek
reveal,ortaya çıkarmak
rich,zengin
right,Sağ
rise,yükselmek
risk,risk
road,yol
rock,kaynak
role,rol
room,oda
rule,kural
run,koşmak
safe,güvenli
same,Aynı
save,kaydetmek
say,söylemek
scene,sahne
school,okul
science,bilim
scientist,bilim adamı
score,Gol
sea,deniz
season,mevsim
seat,koltuk
second,ikinci
section,bölüm
security,güvenlik
see,Görmek
seek,aramak
seem,gözükmek
sell,satmak
send,Göndermek
senior,kıdemli
sense,algı
series,seri
serious,cidden
serve,sert
service,hizmet
set,ayarlamak
seven,Yedi
several,birçok
sex,seks
sexual,cinsel
shake,sallamak
share,paylaşmak
she,o
shoot,film çekmek
short,kısa
shot,atış
should,meli
shoulder,omuz
show,göstermek
side,taraf
sign,imza
significant,önemli
similar,benzer
simple,basit
simply,basitçe
since,o zamandan beri
sing,şarkı söylemek
single,Bekar
sister,kız kardeş
sit,oturmak
site,alan
situation,durum
six,altı
size,boyut
skill,yetenek
skin,deri
small,küçük
smile,gülümsemek
so,Bu yüzden
social,sosyal
society,toplum
soldier,asker
some,bazı
somebody,birisi
someone,birisi
something,bir şey
sometimes,Bazen
son,oğul
song,şarkı
soon,yakında
sort,düzenlemek
sound,ses
source,kaynak
south,güney
southern,güney
space,uzay
speak,konuşmak
special,özel
specific,özel
speech,konuşma
spend,harcamak
sport,spor
spring,bahar
staff,kadro
stage,sahne
stand,durmak
standard,standart
star,yıldız
start,başlangıç
state,durum
statement,ifade
station,istasyon
stay,kalmak
step,adım
still,Hala
stock,stoklamak
stop,durmak
store,mağaza
story,hikaye
strategy,strateji
street,sokak
strong,güçlü
structure,yapı
student,öğrenci
study,çalışmak
stuff,şey
style,stil
subject,ders
success,başarı
successful,başarılı
such,çok
suddenly,Birden
suffer,acı çekmek
suggest,tavsiye etmek
summer,yaz
support,Destek
sure,Elbette
surface,yüzey
system,sistem
table,masa
take,almak
talk,konuşmak
task,görev
tax,vergi
teach,öğretmek
teacher,Öğretmen
team,takım
technology,teknoloji
television,televizyon
tell,söylemek
ten,on
tend,eğilimli olma
term,terim
test,Ölçek
than,hariç
thank,teşekkür etmek
that,O
the,the
their,onların
them,onlara
themselves,kendileri
then,Daha sonra
theory,teori
there,Orası
these,bunlar
they,Onlar
thing,şey
think,düşünmek
third,üçüncü
this,Bu
those,onlar
though,Yine de
thought,düşünce
thousand,bin
threat,tehdit
three,üç
through,başından sonuna kadar
throughout,boyunca
throw,fırlatmak
thus,Böylece
time,zaman
to,ile
today,Bugün
together,birlikte
tonight,bu akşam
too,fazla
top,tepe
total,Toplam
tough,zorlu
toward,karşı
town,şehir
trade,ticaret
traditional,geleneksel
training,eğitim
travel,seyahat
treat,davranmak
treatment,tedavi
tree,ağaç
trial,duruşma
trip,seyahat
trouble,bela
TRUE,doğru
truth,gerçek
try,denemek
turn,dönüş
TV,televizyon
two,iki
type,tip
under,altında
understand,anlamak
unit,birim
until,değin
up,yukarı
upon,üzerine
us,biz
use,kullanmak
usually,genellikle
value,değer
various,çeşitli
very,çok
victim,kurban
view,görüş
violence,şiddet
visit,ziyaret etmek
voice,ses
vote,oy
wait,Beklemek
walk,yürümek
wall,duvar
want,istek
war,savaş
watch,kol saati
water,su
way,yol
we,Biz
weapon,silah
wear,giymek
week,hafta
weight,ağırlık
well,Peki
west,batı
western,batılı
what,Ne
whatever,Her neyse
when,Ne zaman
where,Neresi
whether,ikisinden biri
which,Hangi
while,sırasında
white,beyaz
who,DSÖ
whole,tüm
whom,kime
whose,kimin
why,Neden
wide,geniş
wife,eş
will,irade
win,kazanç
wind,rüzgâr
window,pencere
wish,dilek
with,ile
within,içinde
without,olmadan
woman,kadın
wonder,merak etmek
word,kelime
work,iş
worker,çalışan
world,dünya
worry,endişelenmek
would,istemek
write,yazmak
writer,yazar
wrong,yanlış
yard,bahçe
yeah,Evet
year,yıl
yes,Evet
yet,henüz
you,Sen
young,genç
your,senin
yourself,kendin
