English,Turkish
set sail (phr v) Begin a voyage.,yelken açmak
solo (adj),tek
succeed (v),başarmak
unfamiliar (adj),yabancı
voyage (n),deniz seyahati
wear sth out (phr v) ,deforme etmek
advertise (v),reklamını yapmak
announce (v) / announcement,duyurmak / duyuru
application (n) / apply (v),uygulama / uygulamak
campground (n),kamp sahası
cancellation (n),iptal etme
confirm (v),onaylamak
connect (v) / connection (n),bağlamak / bağlantı
description (n),tanım
destination (n),varış yeri
exotic (adj),tuhaf
explanation (n),açıklama
exploration (n),keşif gezisi
guided tour (n),rehberli tur
improvement (n),gelişme
inexpensive (adj),pahalı olmayan
insurance (n),sigorta
introduction (n),girişim
on board,araca monteli
present (v),sunmak
scenery (n),manzara
stress-free (adj),stressiz
wildlife (n),vahşi yaşam
access (v),erişmek
anxious (adj),endişeli
app (n),uygulama / uygulamak
arrival (n),varış yeri
bargain (n),pazarlık
car rental (n),araba kiralama
come across (phr v),karşılaşmak
come up,birine doğru ilerlemek
compare (v),karşılaştırmak
count on (phr v),güvenmek
currency (n),"döviz, para birimi"
delay (n),gecikme
departure (n),kalkış
do without sth (phr v),-siz yapabilmek
domestic flight (n),yurtiçi uçuş
essential (adj),esas / gerekli
fed up with (adj),bıkmış
flexible (adj),geniş
frequent (adv),sık sık
handy (adj),kullanışlı
hassle (n),güçlük
illegal (adj),kaçak
impressed (adj),etkilenmiş
interactive (adj),etkileşimli
journal (n),dergi
landmark (n),sınır işareti
legal (adj),legal
leisure (n),boş vakit
major (adj),başlıca
once (sth happens),bir defa
record (v),kaydetmek
schedule (n),program
section (n),kesit
store (v),depolamak
struggle (n),çabalama
timetable (n),tarife
tram (n),tramvay
unique (adj),eşsiz
update (v),güncellemek
upload (v),yüklemek
colorful (adj),renkli
educational (adj),eğitimsel
enjoyable (adj),zevkli
fascinating (adj),büyüleyici
get seasick (collocation),deniz tutmak
highlight (n),toplantı
impression (n),izlenim
magnificent (adj),fevkalade
massive (adj),cüsseli
mouth-watering (adj),ağız sulandırıcı
once in a lifetime,hayatta bir defa
opportunity (n),fırsat
peaceful (adj),barışçıl
pond (n),gölet
private (adj),özel
recommendation (n),öneri
species (n),tür
spectacular (adj),muhteşem
square (adj),kare
suggestion (n),öneri
the public (n),halk
unforgettable (adj),unutulmaz
weird (adj),acayip
wonder (n),harika
See for yourself,kendin gör
balance (n),denge
advise (v),tavsiye etmek
at last,sonunda
be willing to (collocation),can atmak
career break (collocation),kariyer molası
creature (n),yaratık
cv (n),özgeçmiş
delighted (adj),memnun
eager (adj),istekll
encourage (v),teşvik etmek
fairly (adv),adil bir şekilde
give sth a try (ph v),bir şeyi denemek
greet (v),selamlaşmak
headteacher (n),okul müdürü
hopefully (adv),inşallah
income (n),gelir
interact (v),etkileşmek
motivated (adj),motive
on one’s mind,
overtime (n),fazla mesai
plenty of (adj),bol miktarda
rewarding (adj),faydalı
rise (n),artış
sleepless (adj),uykusuz
somehow (adv),bir şekilde
staff (n),kadro
teens (n),yeniyetmelik
Make a decision / guess,karar vermek
Make a difference,farklılık oluşturmak
Make a good / bad impression,iyi izlenim uyandırmak
Make a mistake,hata yapmak
Make a suggestion / arrangement,öneri / düzenleme yapmak
Make an effort,efor sarfetmek
Make plans,plan yapmak
Make sense,mantıklı olmak
Make the most of sth,bir şeyin çoğunu yapmak
Make up one’s mind,karar vermek
Do a project,proje yapmak
Do an experiment,deney yapmak
Do as you please,nasıl istersen öyle yap
Do business,iş yapmak
Do my hair,saçımı yapmak
Do one’s best,elinden gelenin en iyisini yapmak
Do research,araştırma yapmak
Do sb a favour,birine iyilik yapmak
Do some exercise,egzersiz yapmak
Do well / badly,iyi / kötü yapmak
applicant (n),başvuran
careless (adj),dikkatsiz
earn a living,yaşam kazanmak
experience (work) (n),iş tecrübesi
fire (v),kovmak
hire (v),kiralamak
knowledge (n),bilgi
pay rise (collocation),maaş zammı
position (n),mevki
previous (adj),önceki
qualifications (n),nitelikler
quit (v),çıkmak
react (v),tepki göstermek
rent (n),kira 
tell sb off (ph v),"kızmak, haşlamak"
I didn’t mean to,onu kast etmedim
I’ve got no excuse for my behavior,Davranışım için hiçbir mazeretim yok
I would strongly advise you to …,Size şiddetle tavsiye ederim ...
That was thoughtless of me,Bu benim için düşüncesizdi
That wasn’t very wise of you,Bu senin için çok akıllı değildi
Why on earth did you do that?,Bunu neden yaptın?
affect (v),etkilemek
come up with (ph v),bulmak (fikir vb)
concern (n),kaygı
deadline (n),son teslim tarihi
express (v),ifade etmek
extrovert (n),dışadönük kimse
freedom (n),bağımsızlık
get along with (phr v),biriyle iyi geçinmek
imagination (n),hayal gücü
introvert (n),içe dönük kimse
medical care (n),tıbbi bakım
role model (n),örnek alınan kişi
solution (n),çözüm
take one’s time (phr),acele etmemek
technician (n),tekniker
trust (n) (v),güvenmek / güven
academic,öğretim görevlisi
accountant,muhasebeci
consultant,danışman
detective,dedektif
engineer,mühendis
interior designer,iç tasarımcı
lawyer,avukat
marketing manager,Pazarlama Müdürü
mechanic,tamirci
public speaker,konuşmacı
researcher,araştırmacı
vet,Veteriner
ambitious,hırslı
artistic,sanatsal
courageous,cesur
disorganized,dağınık
honest,dürüst
imaginative,yaratıcı
musical,müzikal
patient,hasta
rational,akılcı
reliable,güvenilir
sociable,sosyal
spontaneous,doğal
strict,sıkı
well-organized,iyi organize edilmiş
deadline (n),son teslim tarihi
delete (v),silmek
exhausted (adj),
promote (v),
I bet…,Bahse girerim…
I doubt it,şüpheliyim
It’s hard to say…,Söylemesi zor…
It’s probable that…,Muhtemelen ...
It’s very unlikely that…,Bu pek olası değil ...
My guess is that…,Tahminim bu ...
accidentally (adv),kazayla
be around,buralarda ol
beneficial (adj),yararlı
compulsory (adj),zorunlu
effective (adj),etkili
encyclopedia (n),ansiklopedi
foreigner (adj),yabancı
generation (n),"jenerasyon, kuşak"
gesture (n),iyi niyet gösterisi
hill / hilly (n) / (adj),tepe / tepelik
mist (n),buhar
mountainous (adj),"yığın, devasa"
mystery (n),gizem
origin (n),menşe
"pick sth up (phr v) learn something,",öğrenmek
rare (adj),ender
separate (adj),ayrı
sign language (n),işaret dili
speech (n),konuşma
take control (phr),başa geçmek
take over (phr v),yönetimi ele geçirmek
valley (n),vadi
whistle (n) (v),ıslık / ıslık çalmak
widely (adv),geniş ölçüde
yell (v),bağırmak
Tell a joke,Bir fıkra anlat
Tell a lie,Bir yalan söyle
Tell a secret,Bir sır söyle
Tell a story,Bir hikaye anlatmak
Tell the difference,Farkı söyle
Tell the truth,Doğruyu söyle
Say hello,Merhaba de
Say so,Yani demek
Say sorry,Özür dilemek
Say sth,STH deyin
Say thank you,Teşekkür ederim de
Say yes,Evet de
argue (v),tartışmak
care (v),önem vermek
chat (v),muhabbet etmek
complain (v),şikayet etmek
costly (adj),masraflı
face-to-face (adj),yüz yüze
gossip (n),dedikodu
inconvenient (adj),külfetli
instantly (adv),anında
mention (v),bahsetmek
outdated (adj),günün şartlarına uymayan
place (v),oturtmak
portable (adj),portatif
refer (v),atfetmek
practical (adj),pratik
socialize (v),sosyalleşmek
time-saving (adj),zaman kazandıran
up to date (adj),günümüze uygun
user-friendly (adj),kullanıcı dostu
account (e.g. email),hesap
attach (v),bağlamak
crash (v),çarpışmak
data (n),veri
deactivate (v),devre dışı bırakmak
fire (v),kovmak
punctual (adj),dakik
job hunting (n),iş arama
firm (n),firma
give up (phr v) quit something,pes etmek
to be stuck at somewhere,mahsur kalmak
salary (n),maaş
company (n),şirket
outskirts (n),kenar mahalle
enthusiastic (adj),coşkulu
eager (adj),istekli
volunteer (n),gönüllü
drag and drop (adj),sürükleyip bırakma
function (n),"fonksiyon, işlev"
gadget freak (n),teknoloji manyağı
install (v),yüklemek
instant messaging (n),anlık mesajlaşma
key (n),anahtar
keyboard (n),klavye
post(v),postalamak
press (v),baskı yapmak
scroll (v),kaydırmak
select (v),seçmek
shut down (phr v),kapatmak
tap (v),hafifçe vurmak
touchscreen (adj),dokunmatik ekran
mention (v),bahsetmek
rubbish (n),"zırva, çöp"
stay in touch (phr v) Stay in contact.,iletişimde kalmak
flatmate (n),ev arkadaşı
plenty of,tonla
virus (n),virüs
"Anyway, as I was saying","Her neyse, dediğim gibi"
Can I add something?,Bir şey ekleyebilir miyim?
Could I say something before you continue?,Devam etmeden önce bir şey söyleyebilir miyim?
"Hold on, are you saying that …? ","Bekle, bunu mı söylüyorsun…?"
"Now, what was I saying?",Şimdi ne dedim?
"Now, where was I?",Şimdi neredeydim?
"Sorry to interrupt, but…",Kesmek için üzgünüm ama…
May I interrupt you for a second?,Seni bir saniye kesebilir miyim?
struggle (n) ,çabalama
competitive (adj) ,rekabetçi
throughout (adv) ,boyunca
creative (adj),yaratıcı
ambitious (adj),"hırslı, hevesli"
colleague (n),iş arkadaşı
ridiculous (adj),saçma
 rush (v),koşturmak
against the law (coll),yasalara aykırı
at all times (coll),her zaman
be located (adj),yeri saptanmak
be supposed to,izin verilmek
behave (v),davranmak
beware of (adj),çekinmek
carriage (n),taşımacılık
caution (n),dikkat
circle (n),daire
construction worker (n),inşaat işçisi
evacuate (v) /evacuation (n),tahliye etmek / tahliye
exit (v),çıkmak
fire extinguisher (n),yangın söndürme aleti
handle (n),kulp
hazard (n),risk
in case of,durumunda
in progress,ilerlemekte
keep off (ph v),uzak tutmak
keep out (ph v),uzak durmak
manner (n),yol
member of staff (n),
notify (v),bildirmek
obtain (v),elde etmek
owner (n),sahip
permission (n) / permit (n),izin / izin vermek
protection (n)/ protective (adj),koruma / koruyucu
qualified (adj),kaliteli
required (adj),gerekli
(building) site (n),şantiye
strictly forbidden,kesinlikle yasaktır
suspicious (adj),şüpheli
track (n),iz 
unaffected (adj),etkilenmemiş
warn (v) / warning (n),uyarmak / uyarı
Could you give me the directions to the …?,Bana talimatları verebilir misin…?
Cross at the zebra crossing / footbridge,Zebra geçiş / yaya köprüsünde geçiş
Do you happen to know where the … is?,Nerede olduğunu biliyor musun?
Go along … Street.,Devam et… Sokak.
Go past / towards…,Geç / doğru git ...
Go straight on / ahead for another hundred meters.,Yüz metre daha düz / ileriye gidin.
It’s on the corner of …,Köşesinde …
Keep going for two blocks.,İki blok devam et.
Take the first / second / etc.,Birinci / saniyeyi alın / vb.
Left / right onto…,Sol / sağa ...
Turn … at the crossroads.,Dön… Kavşakta.
You’ll find it on the left / right-hand side,Sol / sağ tarafta bulacaksınız
Does that make sense?,bu mantıklı mı?
I didn’t catch / get that,Bunu yakalamadım / almadım
I hope that’s not too confusing,Umarım bu çok kafa karıştırıcı değildir
I hope you’re making some sense of what I am saying,Umarım ne dediğimi anlıyorsundur
I’m not following you,Seni takip etmiyorum
Is everything clear?,Her şey net mi?
Were my directions clear enough?,Talimatlarım yeterince net miydi?
What was that again?,Yine neydi?
make history,tarih yazmak
well educated (adj),iyi eğitimli
award (n),mükafat
barefoot (adj),yalınayak
blame (v),suçlamak
by nature,doğal
candle (n),mum
concept (n),konsept
developing country (n),gelişmekte olan ülke
doubt (n),şüphe 
exist (v),var olmak
fable (n),masal
fall in love (phrase),aşık olmak
go after (a dream),hayalin peşinden gitmek
investigate (v),araştırmak
irrational (adj),mantıksız
laughter (n),kahkaha
make fun of (phrase),gırgır geçmek
president (n),başkan
realistic (adj),gerçekçi
response (n),cevap
reveal (v),ifşa etmek
risk (v),"risk almak, riske etmek"
satisfying (adj),memnun edici
seed (n),tohum
set a goal (phrase),hedef belirlemek
unrealistic (adj),gerçekçi olmayan
victory (n),zafer
accomplish (v),başarıyla tamamlamak
affected (adj),etkilenmiş
ambition (n),hırs
illiterate (adj) / literate (adj),cahil / okumuş
illogical (adj) / logical (adj),mantıksız / mantıklı
immature (adj) / mature (adj),olgunlaşmamış  / olgun
impolite (adj),kaba
impractical (adj),pratik olmayan
inappropriate (adj),uygunsuz
inexperienced (adj),tecrübesiz
insecure (adj),"güvensiz, kendine güveni olmayan"
intelligence (n),zeka
intend (v),niyet etmek
irregular (adj),düzensiz
irrelevant (adj) / relevant (adj),ilgisiz / ilgili
irresponsible (adj),sorumsuz
psychologist (n),psikolog
secure (adj),güvenli
unaffected (adj),etkilenmemiş
unaware (adj),farkında olmayan
unkind (adj),nazik olmayan
unprofessional (adj),amatör
unreliable (adj),güvenilmez
unsuitable (adj),uygunsuz
unwilling (adj),isteksiz
altitude (n),rakım
anger (n),kızgınlık
approximately (adv),yaklaşık
awareness (n),farkındalık
named (adj),isimli
belief (n),inanç
break a record,rekor kırmak
briefly (adv),kısaca
cave (n),mağara
creativity (n),yaratıcılık
darkness (n),karanlık
depth (n),derin
fame (n),ün
fearless (adj),korkusuz
feat (n),kahramanlık
kindness (n),nezaket
laziness (n),tembellik
leap (v),sıçramak
mission (n),görev
named (adj),isimli
parachute (n),paraşüt
passion (n),tutku
popularity (n),popülerlik
properly (adv),doğru dürüst
relief (n),rahatlama
responsibility (n),sorumluluk
sadness (n),üzüntü
set a record,rekor kırmak
similarity (n),benzerlik
slow down (ph v) = reduce speed,yavaşlamak
speed (n),hız
strength (n),güç
therefore,bu yüzden
thought (n),düşünce
unhurt (adj),zarar görmemiş
weakness (n),zayıflık
weight (n),ağırlık
all in all,sonuçta
appealing (adj),sempatik
besides that,bunun yanında
demanding (adj),talepkar
distance (n) ,mesafe
ground (n) ,yer
pretty (adj)  ,şirin
grow a beard ,sakal bırakmak
unbelievable (adj)  ,inanılmaz
confuse (v),kafasını karıştırmak
particular (adj),özel
cheat (v),aldatmak
manage (v),yönetmek
zero,hiçlik
devote (v) / devotion (n),adamak / adak
disappointment (n),hayal kırıklığı
energizing (adj),enerji verici
escape from,-den kaçmak
extensive (adj),kapsamlı
failure (n),başarısızlık
in conclusion,özetle
in the first place,ilk önce
injury (n),sakatlık
lack of,.. eksikliği
last but not least,sonuncu ama son derece önemli olarak
let sth go to waste (phrase),bir şeyin boşa gitmesine izin vermek
maintain (v) /maintenance (n),bakım yapmak / bakım
moreover,Dahası
on the one hand,bir taraftan
On the other hand,Diğer taraftan
On the whole,Her şey hesaba katılırsa
outweigh (v),ağır basmak
patio (n),avlu
the pros and cons,artıları ve eksileri
specific (adj)  ,belirli
characteristics (adj) ,karakter özellikleri
marshmallow (adj) ,lokuma benzer şekerleme
gratification (adj) ,memnuniyet
delay (adj) ,gecikme
cope with (ph v),uğraşmak
contact (v),temas kurmak
indeed,doğrusu
prove (v),kanıtlamak
conduct (v),yönetmek
appropriate (adj),uygun
To sum up,özetle
unappealing (adj),nahoş
weather dependent,havaya bağlı
while (contrast),e rağmen
work out (ph v),işe yaramak
running water (coll),akar su
sparkling water (coll),maden suyu
tap water (coll),çeşme suyu
water cooler (coll),su soğutucusu
water fountain (coll),su çeşmesi
water pollution (coll),su kirliliği
attack (v),saldırmak
be about to (phrase),üzere olmak
beak (n),gaga
beast (n),çirkin yaratık
blind (adj),kör
companion (n),refakatçi
cry (n),feryat
enormous (adj),devasa
feather (n),kuş tüyü
for an instant (phrase),bir anlığına
force (n),zorlama
gaze (v),gözünü dikmek
giant (adj),dev
gigantic (adj),devasa
grab (v),yakalamak
head (v),yönetmek
knock over (ph v),devirmek
legend (n),efsane
liquid (n),sıvı
marine (adj),denizle ilgili
monster (n),canavar
myth (n),efsane
obviously (adj),açıkça
order (n),emir
overcome (v),üstesinden gelmek
overhear (v),kulak misafiri olmak
repair (v),tamir etmek
rush (v),koşturmak
squid (n),mürekkep balığı
stare (v),dik dik bakmak
struggle (v),çabalamak
surface (n),yüzey
swallow (v),yutmak
tears (n),gözyaşları
violence (n),şiddet
weapon (n),silah
lay eggs (coll)  ,yumurtlamak
seagull (n)  ,martı
adulthood (n)  ,yetişkinlik
trench (n),siper
heart (n) ,kalp
creature (n),yaratık
crab(n),yengeç
anglerfish (n),fener balığı
measure (v),ölçmek
endangered species (coll),tehlikedeki türler
cause (n),sebep
disease (n),hastalık
extinct (adj),yok olmuş
hunting (n),avlanma
national park (coll),milli park
beetle (n),böcek
cheetah (n),çita
koala (n),koala
octopus (n),ahtapot
penguin (n),penguen
rhinoceros (n),gergedan
toad (n),kara kurbağası
turtle (n),kamplumbağa
whale (n),balina
bay (n),doru at
canal (n),kanal
canyon (n),kanyon
desert (n),çöl
falls (n),şelale
gulf (n),körfez
mountain range (coll),sıradağ
peak (n),zirve
rainforest (n),yağmur ormanı
volcano (n),volkan
I can’t say for sure but…,Kesinlikle söyleyemem ama…
I could be wrong but I believe…,Yanlış olabilirim ama inanıyorum ...
I have no doubt that …,Hiç şüphe yok ki ...
I know for a fact that …,Bir gerçeği biliyorum ...
I suppose …,Sanırım …
I’m absolutely certain,Kesinlikle eminim
I’m positive,Ben pozitifim
I’m very / fairly / completely confident that …,Çok / adil / tamamen güveniyorum ...
It seems unbelievable but …,İnanılmaz görünüyor ama ...
agriculture (n),ziraat
at risk (phrase),risk altında
average (adj),ortalama
bother (v),canını sıkmak
congratulate (v),tebrik etmek
consume (v),tüketmek
cooperate (v),işbirliği yapmak
cope with = deal with (phr v),uğraşmak
decrease (v),azaltmak
depend (v),bağlı olmak
flush toilet (n),sifonlu tuvalet
for instance (phrase),mesela
germs (n),mikroplar
in motion (phrase),hareket halinde
increase (n) (v),artış / artmak
insist (v),ısrar etmek
instant coffee (n),hazır kahve
limited (adj),sınırlı
link (v),bağlamak
muscle (n),kas
nausea (n),bulantı
percentage (n),yüzde
raise awareness (coll),farkındalık oluşturmak
rely (v),güvenmek
source (of life),yaşamın kaynağı
suffer from (v),zarar görmek
supply (n),tedarik
swamp (n),bataklık
take sth for granted (phrase),bir şeyi sorgusuz sualsiz kabul etmek
total amount (coll),toplam miktar
trillion (n),trilyon
use up (phr v),tüketmek
vomit (n),istifrağ
water shortage (coll),su kıtlığı
issue (n),sorun
constantly (adv),ikide bir
access (n),erişim
backpack (n),sırt çantası
footprint (n),ayak izi
gallon (n),galon
pint (n),sıvı ölçüsü (yarım litre)
astonished (adj),şaşkın
be out of luck (coll),şanssız olmak
binoculars (n),dürbün
die down (n),bitmek
dot (n),nokta
filthy (adj),çok pis
furious (adj),çok öfkeli
gentle (adj),yumuşak ve nazik
gorgeous (adj),muhteşem
hilarious (adj),eğlendirici
just in time (coll),tam zamanında
lifeboat (n),filika
marvelous (adj),harika
miserable (adj),acınası
on the horizon (coll),olacak gibi görünen
rock (v),sallanmak
rough (adj),kaba saba
row (v),kürek çekmek
sink (v),batmak
starving (adj),çok aç
think to oneself (phrase),(kendi kendine) düşünmek
thrilled (adj),heyecanlanmış
tiny (adj),mini mini
treasure (n),değerli şey
unconscious (adj),bilinçsiz
wounded (adj),yaralı
I get it,anladım
I nearly jumped out of my skin,Neredeyse cildimden atladım
I went as red as a beetroot,Pancar kadar kırmızıya gittim
In other words…,Başka bir deyişle…
It was too good to be true,Gerçek olamayacak kadar iyiydi
The next thing I knew …,Bildiğim bir sonraki şey…
There was no hope left,Umut kalmadı
Within minutes…,Dakikalar içinde…
Without thinking…,Düşünmeden…
a series of (adj),bir dizi
absorb (v),sönümlemek
artificial (adj),yapay
attack (n),saldırı
carbon dioxide (n),karbondioksit
completion (n),bitirme
criticism (n),eleştiri
damaging (n),zarar verici
decade (n),10 yıl
destruction (n),tahribat
dust (n),toz
enemy (n),düşman
expanding (adj),genişleyen
global warming (coll),küresel ısınma
habitat (n),bir şeyin doğal yeri
intruder (n),zorla giren kimse
loss (n),kayıp
man-made (adj),insan yapımı
only time will tell (phrase),(yalnızca) zaman gösterir
outcome (n),sonuç
process (n),süreç
rate (n),oran
result in (phrase),sonuçlanma
scarce (adj),kıt
speed up (phrase),hızlandırmak
traffic congestion (coll),trafik tıkanması
valuable (adj),değerli
