,English,Turkish
686,rate,oran
687,rather,yerine
688,reach,ulaşmak
689,read,Okumak
690,ready,hazır
691,real,gerçek
692,reality,gerçeklik
693,realize,fark etmek
694,really,Gerçekten
695,reason,sebep
696,receive,almak
697,recent,son
698,recently,son zamanlarda
699,recognize,tanımak
700,record,kayıt
701,red,kırmızı
702,reduce,azaltmak
703,reflect,yansıtmak
704,region,bölge
705,relate,ilgili olmak
706,relationship,ilişki
707,religious,din
708,remain,geriye kalmak
709,remember,Unutma
710,remove,kaldırmak
711,report,rapor
712,represent,temsil etmek
713,Republican,Cumhuriyetçi
714,require,gerekmek
715,research,araştırma
716,resource,kaynak
717,respond,yanıtlamak
718,response,cevap
719,responsibility,sorumluluk
720,rest,dinlenmek
721,result,sonuç
722,return,geri dönmek
723,reveal,ortaya çıkarmak
724,rich,zengin
725,right,Sağ
726,rise,yükselmek
727,risk,risk
728,road,yol
729,rock,kaynak
730,role,rol
731,room,oda
732,rule,kural
733,run,koşmak
734,safe,güvenli
735,same,Aynı
736,save,kaydetmek
737,say,söylemek
738,scene,sahne
739,school,okul
740,science,bilim
741,scientist,bilim adamı
742,score,Gol
743,sea,deniz
744,season,mevsim
745,seat,koltuk
746,second,ikinci
747,section,bölüm
748,security,güvenlik
749,see,Görmek
750,seek,aramak
751,seem,gözükmek
752,sell,satmak
753,send,Göndermek
754,senior,kıdemli
755,sense,algı
756,series,seri
757,serious,cidden
758,serve,sert
759,service,hizmet
760,set,ayarlamak
761,seven,Yedi
762,several,birçok
763,sex,seks
764,shake,sallamak
765,share,paylaşmak
766,she,o
767,shoot,film çekmek
768,short,kısa
769,shot,atış
770,should,meli
771,shoulder,omuz
772,show,göstermek
773,side,taraf
774,sign,imza
775,significant,önemli
776,similar,benzer
777,simple,basit
778,simply,basitçe
779,since,o zamandan beri
780,sing,şarkı söylemek
781,single,Bekar
782,sister,kız kardeş
783,sit,oturmak
784,site,alan
785,situation,durum
786,six,altı
787,size,boyut
788,skill,yetenek
789,skin,deri
790,small,küçük
791,smile,gülümsemek
792,so,Bu yüzden
793,social,sosyal
794,society,toplum
795,soldier,asker
796,some,bazı
797,somebody,birisi
798,someone,birisi
799,something,bir şey
800,sometimes,Bazen
801,son,oğul
802,song,şarkı
803,soon,yakında
804,sort,düzenlemek
805,sound,ses
806,source,kaynak
807,south,güney
808,southern,güney
809,space,uzay
810,speak,konuşmak
811,special,özel
812,specific,özel
813,speech,konuşma
814,spend,harcamak
815,sport,spor
816,spring,bahar
817,staff,kadro
818,stage,sahne
819,stand,durmak
820,standard,standart
821,star,yıldız
822,start,başlangıç
823,state,durum
824,statement,ifade
825,station,istasyon
826,stay,kalmak
827,step,adım
828,still,Hala
829,stock,stoklamak
830,stop,durmak
831,store,mağaza
832,story,hikaye
833,strategy,strateji
834,street,sokak
835,strong,güçlü
836,structure,yapı
837,student,öğrenci
838,study,çalışmak
839,stuff,şey
840,style,stil
841,subject,ders
842,success,başarı
843,successful,başarılı
844,such,çok
845,suddenly,Birden
846,suffer,acı çekmek
847,suggest,tavsiye etmek
848,summer,yaz
849,support,Destek
850,sure,Elbette
851,surface,yüzey
852,system,sistem
853,table,masa
854,take,almak
855,talk,konuşmak
856,task,görev
857,tax,vergi
858,teach,öğretmek
859,teacher,Öğretmen
860,team,takım
861,technology,teknoloji
862,television,televizyon
863,tell,söylemek
864,ten,on
865,tend,eğilimli olma
866,term,terim
867,test,Ölçek
868,than,hariç
869,thank,teşekkür etmek
870,that,O
871,the,the
872,their,onların
873,them,onlara
874,themselves,kendileri
875,then,Daha sonra
876,theory,teori
877,there,Orası
878,these,bunlar
879,they,Onlar
880,thing,şey
881,think,düşünmek
882,third,üçüncü
883,this,Bu
884,those,onlar
885,though,Yine de
886,thought,düşünce
887,thousand,bin
888,threat,tehdit
889,three,üç
890,through,başından sonuna kadar
891,throughout,boyunca
892,throw,fırlatmak
893,thus,Böylece
894,time,zaman
895,to,ile
896,today,Bugün
897,together,birlikte
898,tonight,bu akşam
899,too,fazla
900,top,tepe
901,total,Toplam
902,tough,zorlu
903,toward,karşı
904,town,şehir
905,trade,ticaret
906,traditional,geleneksel
907,training,eğitim
908,travel,seyahat
909,treat,davranmak
910,treatment,tedavi
911,tree,ağaç
912,trial,duruşma
913,trip,seyahat
914,trouble,bela
915,TRUE,doğru
916,truth,gerçek
917,try,denemek
918,turn,dönüş
919,TV,televizyon
920,two,iki
921,type,tip
922,under,altında
923,understand,anlamak
924,unit,birim
925,until,değin
926,up,yukarı
927,upon,üzerine
928,us,biz
929,use,kullanmak
930,usually,genellikle
931,value,değer
932,various,çeşitli
933,very,çok
934,victim,kurban
935,view,görüş
936,violence,şiddet
937,visit,ziyaret etmek
938,voice,ses
939,vote,oy
940,wait,Beklemek
941,walk,yürümek
942,wall,duvar
943,want,istek
944,war,savaş
945,watch,kol saati
946,water,su
947,way,yol
948,we,Biz
949,weapon,silah
950,wear,giymek
951,week,hafta
952,weight,ağırlık
953,well,Peki
954,west,batı
955,western,batılı
956,what,Ne
957,whatever,Her neyse
958,when,Ne zaman
959,where,Neresi
960,whether,ikisinden biri
961,which,Hangi
962,while,sırasında
963,white,beyaz
964,who,DSÖ
965,whole,tüm
966,whom,kime
967,whose,kimin
968,why,Neden
969,wide,geniş
970,wife,eş
971,will,irade
972,win,kazanç
973,wind,rüzgâr
974,window,pencere
975,wish,dilek
976,with,ile
977,within,içinde
978,without,olmadan
979,woman,kadın
980,wonder,merak etmek
981,word,kelime
982,work,iş
983,worker,çalışan
984,world,dünya
985,worry,endişelenmek
986,would,istemek
987,write,yazmak
988,writer,yazar
989,wrong,yanlış
990,yard,bahçe
991,yeah,Evet
992,year,yıl
993,yes,Evet
994,yet,henüz
995,you,Sen
996,young,genç
997,your,senin
998,yourself,kendin
